original.name	chr2n
Carex_pairae|SPA|spm00004403	55
Carex_blanda|TEN|spm00001819	35.25
Carex_foetida|SWI|spm00000565	46.57142857
Carex_fimbriata|SWI|spm00000552	42
Carex_nebraskensis||NCBI_Janeway_2159	67
Carex_divisa|MRY|spm00002064	59.71428571
Carex_praegracilis|CAL|spm00001157	60
Carex_punctata|GRB|NCBI_Smith_3418	68
Carex_austroalpina|SPA|spm00000535	39.5
Carex_aestivalis|PEN|spm00000681	56
Carex_ornithopoda_ssp_ornithopoda|YUG|spm00000560	53.33333333
Carex_tribuloides_var_sangamonensis|MSI|spm00002714	70
Carex_conoidea|DEL|spm00001428	68
Carex_peucophila|MXC|spm00002576	74
Carex_omiana|JAP|NCBI_Waterway_3651	53
Carex_misera|TEN|spm00001764	79
Carex_calcis|NZS|spm00002186	68
Carex_distachya|SPA|spm00000588	73.04545455
Carex_muricata_ssp_muricata|POL|spm00004400	56.05
Carex_curvula_ssp_curvula|SPA|spm00003091	86
Carex_heterolepis|KOR|NCBI_Jung_2360	77.5
Carex_tristachya_var_tristachya|CHS|spm00000132	45.6
Carex_intumescens|MAI|spm00000975	48
Carex_comosa|CAL|spm00000826	64
Carex_trisperma_var_trisperma|GNL|spm00006097	60
Carex_foenea|BRC|spm00002000	82.5
Carex_papulosa|KOR|spm00000016	44
Carex_otrubae|SPA|spm00000559	58.88888889
Carex_stricta|TEX|spm00001296	69
Carex_paulovargasii|MOR|spm00004349	74
Carex_paniculata_ssp_lusitanica|SPA|spm00002563	64
Carex_bigelowii_ssp_bigelowii|QUE|spm00006479	70.80952381
Carex_gracilenta|CHC|spm00005733	52
Carex_leavenworthii|KTY|spm00005410	48
Carex_leersii|NET|spm00004394	57
Carex_longipes|EHM|spm00005772	44
Carex_diandra|CAL|spm00000840	58
Carex_caryophyllea|SPA|spm00002063	66.19230769
Carex_pensylvanica|MAN|spm00001171	36
Carex_augustinowiczii|SAK|spm00007995	61
Carex_pendula|FRA|spm00007935	59.14285714
Carex_albula|NZ|NCBI_AUTHOR_Gardner_304	60
Carex_microdonta|MSI|spm00001420	64
Carex_aethiopica|CPP|spm00004365	74
Carex_chordorrhiza|BRC|spm00001925	64
Carex_distans|GRC|spm00000844	72.39285714
Carex_divulsa|NET|spm00004392	57.2
Carex_arenaria|DEL|spm00000733	60.90909091
Carex_pellita|CAL|spm00001148	80.33333333
Carex_brunnescens_ssp_sphaerostachya|ONT|spm00005986	56
Carex_michauxiana|MAN|spm00001748	59.33333333
Carex_metallica|JAP|NCBI_AUTHOR_Senni_586	30
Carex_depressa_ssp_transsilvanica|YUG|spm00000546	70
Carex_deweyana_var_deweyana|MAN|spm00001039	54.4
Carex_garberi|ASK|spm00001624	52
Carex_appendiculata|KHA|spm00006476	78
Carex_laevigata|SPA|spm00002938	75.74
Carex_remota|YUG|spm00006118	62.25
Carex_podocarpa|BRC|spm00001932	62.88888889
Carex_interior|MIC|spm00000972	54
Carex_oxyandra|KOR|NCBI_Jung_2375	22
Carex_rostrata|WAS|spm00001600	69.83333333
Carex_forficula|KOR|NCBI_Na_2984	61.6
Carex_pallescens|BRC|spm00002008	63.375
Carex_vesicaria|DEL|spm00001360	79.2
Carex_grioletii|SPA|spm00000585	48
Carex_nigra_ssp_nigra|GRB|NCBI_Dean_SM00019	83.90566038
Carex_panicea|MAI|spm00001906	32
Carex_haydenii|WIS|spm00002433	54
Carex_filipes|JAP|NCBI_Waterway_3666	42.5
Carex_dissitiflora|JAP|spm00007871	37
Carex_flava|NFL|spm00001483	61
Carex_albata|JAP|spm00005254	110
Carex_pachygyna|JAP|spm00002558	12
Carex_morrowii|JAP|spm00006680	30.38
Carex_inversa|NZ|NCBI_AUTHOR_Gardner_286	42
Carex_muelleri|NZ|NCBI_AUTHOR_Gardner_301	70
Carex_extensa|VRG|spm00001853	60
Carex_nervata|KOR|spm00000010	73.75
Carex_vaginata|YUK|spm00001974	30.6875
Carex_aurea||spm00000767	52
Carex_umbellata|DEL|spm00001376	30
Carex_scirpoidea_ssp_scirpoidea|ASK|spm00001248	62.10526316
Carex_depressa_ssp_depressa|SPA|spm00000550	65
Carex_glacialis|NFL|spm00001488	34
Carex_flacca_ssp_erythrostachys|BAL|spm00000524	90
Carex_furva|SPA|spm00006018	60.5
Carex_canescens_ssp_canescens|FIN|spm00005994	57.23076923
Carex_microglochin|NOR|spm00001705	52.5
Carex_makinoensis|JAP|spm00006665	29.5
Carex_strictissima|NZS|spm00004413	88
Carex_lasiocarpa_var_americana|ASK|spm00000997	70.66666667
Carex_phyllostachys|TUR|spm00005164	56
Carex_norvegica|ORE|spm00001616	57.33333333
Carex_vulpinoidea|CAL|spm00001351	52
Carex_pilulifera|POR|spm00000583	17.85714286
Carex_myosuroides|FRA|spm00005196	57.57142857
Carex_brunnescens_ssp_brunnescens|FIN|spm00005972	56
Carex_dioica|SWE|spm00004523	51.8
Carex_curvicollis|JAP|spm00006868	56
Carex_crawfordii|ILL|spm00002161	66.76923077
Carex_sylvatica|WAS|spm00001590	57.27272727
Carex_arisanensis|TAI|spm00006420	44
Carex_rariflora|YUK|spm00001999	52.4
Carex_ecklonii|CPP|spm00004378	64
Carex_limosa|ASK|spm00001035	60.71428571
Carex_speciosa_ssp_speciosa|EHM|spm00005853	44
Carex_thunbergii||NCBI_Semsrott_3381	78
Carex_asturica|SPA|spm00004385	46
Carex_banksiana|NZ|spm00005085	88
Carex_michelii|HUN|spm00002175	56.6
Carex_mariposana|ARI|spm00001884	81
Carex_adelostoma|ASK|spm00001619	106
Carex_mollicula|JAP|NCBI_Waterway_3667	65
Carex_carsei|NZ|NCBI_AUTHOR_Gardner_322	60
Carex_subspathacea||NCBI_Reznicek_3165	79.9375
Carex_hostiana|GER|spm00003273	56
Carex_longii|ARK|spm00001001	60.57142857
Carex_binervis|FRA|spm00004357	73.90909091
Carex_gibba|CHH|spm00005244	34.66666667
Carex_gracilior|CAL|spm00001692	82.33333333
Carex_rufina||NCBI_Anderberg_80	86
Carex_rupestris|FRA|spm00005213	50.75
Carex_feta|CAL|spm00000893	66
Carex_krausei|ASK|spm00001639	46.4
Carex_pulicaris|GRB|spm00005180	59.33333333
Carex_satsumensis|TAI|spm00005838	38
