original.name;LI.length.mp
Carex_planiculmis|KOR|NCBI_Jung_2377;30
Carex_planispicata|MRY|spm00000666;16.5
Carex_plantaginea|TEN|spm00001893;19
Carex_platyphylla|MRY|spm00001152;11
Carex_pluriflora|ASK|spm00001956;16
Carex_podocarpa|BRC|spm00001932;130
Carex_potens||spm00004430;0
Carex_prairea|BRC|spm00001951;55
Carex_praticola|COL|spm00001163;14.25
Carex_preslii|ORE|spm00001174;8.5
Carex_projecta|MAN|spm00001176;10.5
Carex_pseudocuraica|CH|spm00002605;7
Carex_pseudocyperus|MIC|spm00001179;40
Carex_pseudofoetida_ssp_pseudofoetida|CHQ|spm00005820;5.5
Carex_pudica|JAP|spm00006673;7.5
Carex_pulicaris|GRB|spm00005180;0
Carex_pumila|NCA|spm00002067;20
Carex_punctata|GRB|NCBI_Smith_3418;16
Carex_punicea|NZS|spm00005105;0
Carex_purpurata||spm00004431;0
Carex_purpurifera|KTY|spm00001470;29.5
Carex_pyrenaica|SPA|spm00000582;0
Carex_quadriflora|KOR|spm00000347;12.5
Carex_radfordii|SCA|spm00001438;29.5
Carex_rainbowii|NAT|NCBI_Martin_Bravo_2799;39.5
Carex_ramenskii|ASK|spm00001439;20
Carex_randalpina|AUT|spm00003098;129
Carex_raoulii|NZ|NCBI_AUTHOR_Gardner_313;25
Carex_rariflora|YUK|spm00001999;10.5
Carex_raynoldsii|CAL|spm00001184;15
Carex_recta||NCBI_Dean_SM00017;29
Carex_reinii|JAP|spm00006675;35
Carex_remota|YUG|spm00006118;7
Carex_reniformis|GEO|spm00001187;9.5
Carex_retroflexa|DEL|spm00001190;6.5
Carex_retrorsa|MIC|spm00001210;32.5
Carex_reuteriana_ssp_mauritanica|SPA|spm00003162;52.5
Carex_reuteriana_ssp_reuteriana|SPA|spm00003202;39
Carex_rhizina_ssp_rhizina|AUT|spm00002182;22.5
Carex_richardsonii|MRY|spm00001220;15
Carex_riloensis|BUL|spm00003599;6.15
Carex_riparia|GRB|NCBI_Blackstock_SM00004;65
Carex_rochebrunii|CHT|spm00006409;10
Carex_roraimensis||NCBI_Reznicek_3159;8
Carex_rorulenta|BAL|spm00003474;5
Carex_rostrata|WAS|spm00001600;50
Carex_rotundata|MAN|spm00001749;13.5
Carex_rufina||NCBI_Anderberg_80;12.5
Carex_rufulistolon|EHM|spm00005833;10
Carex_runssoroensis|UGA|spm00000227;0
Carex_rupestris|FRA|spm00005213;0
Carex_salina|QUE|spm00001953;20.5
Carex_sartwellii|BRC|spm00001982;7.1
Carex_satsumensis|TAI|spm00005838;8.5
Carex_saxatilis|UTA|spm00001223;13.5
Carex_scabrata|QUE|NCBI_Waterway_3706;32.5
Carex_scabriuscula|CAL|spm00001246;27.5
Carex_scaposa|CHC|spm00007891;9.5
Carex_schweickerdtii|NAT|spm00007770;50
Carex_scirpoidea_ssp_scirpoidea|ASK|spm00001248;12.5
Carex_scoparia|MAI|spm00001255;11.5
Carex_scopulorum_var_bracteosa|YUK|spm00006477;17.5
Carex_scopulorum_var_prionophylla|WAS|spm00004556;17.5
Carex_secalina|HUN|spm00004542;12
Carex_sempervirens_ssp_sempervirens|SWI|spm00000540;15
Carex_seorsa|DEL|spm00001242;6.8
Carex_shimidzensis|JAP|NCBI_AUTHOR_Senni_591;55
Carex_shinnersii|TEN|spm00001225;15
Carex_siderosticta||spm00007900;22.5
Carex_silicea|DEL|spm00001232;15
