original.name;Culm.length.mp
Carex_infuscata|WHM|spm00008013;27.5
Carex_insaniae_var_insaniae|JAP|spm00005753;17.5
Carex_insaniae_var_papillaticulmis|JAP|NCBI_Waterway_3659;27.5
Carex_integra|CAL|spm00000977;35
Carex_interior|MIC|spm00000972;52.5
Carex_interrupta|ORE|spm00001666;47.5
Carex_intumescens|MAI|spm00000975;55
Carex_inversa|NZ|NCBI_AUTHOR_Gardner_286;19
Carex_ischnostachya|CHS|spm00000062;45
Carex_jackiana_ssp_parciflora|JAP|NCBI_Waterway_3674;60
Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622;20
Carex_jaluensis|KOR|NCBI_Jung_2361;57.5
Carex_jamesii|ALA|spm00000630;20.5
Carex_kaloides|NZ|NCBI_AUTHOR_Gardner_321;52.5
Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584;45
Carex_kirkii||spm00004417;11
Carex_kitaibeliana|YUG|spm00000539;25
Carex_kobomugi|VRG|spm00000979;20
Carex_krausei|ASK|spm00001639;9
Carex_kurdica|GRC|spm00003147;70
Carex_kwangsiensis|CH|NCBI_Liuo_2555;40
Carex_lachenalii_ssp_lachenalii|ASK|spm00001640;25
Carex_lacustris|MAN|spm00000991;92.5
Carex_laeviconica|TEN|spm00001887;70
Carex_laeviculmis|CAL|spm00001397;40
Carex_laevigata|SPA|spm00002938;85
Carex_laevivaginata|ALA|spm00000993;55
Carex_lainzii|SPA|spm00004371;11.5
Carex_lancea|CPP|spm00003764;95
Carex_lanceolata|CHM|spm00006393;22.5
Carex_lapponica|ASK|spm00001641;27.5
Carex_lasiocarpa_var_americana|ASK|spm00000997;80
Carex_lasiocarpa_var_lasiocarpa|SPA|spm00000576;70
Carex_latebracteata|ARK|spm00001383;24
Carex_laticeps|JAP|NCBI_Waterway_3656;35
Carex_laxa|ASK|spm00001643;27.5
Carex_laxiculmis_var_laxiculmis|PEN|spm00001403;28.5
Carex_laxiflora|MIC|spm00001023;43
Carex_leavenworthii|KTY|spm00005410;45
Carex_ledebouriana|MAG|spm00003592;12.5
Carex_leersii|NET|spm00004394;64.5
Carex_leiorhyncha|KOR|spm00002471;50
Carex_lenticularis||NCBI_Dragon_1281;34
Carex_lepidocarpa_ssp_jemtlandica|NOR|spm00003056;35
Carex_lepidocarpa_ssp_lepidocarpa|SPA|spm00003215;28.5
Carex_lepidocarpa_ssp_nevadensis|SPA|NCBI_Modesto_2872;7.5
Carex_leporina|WIS|spm00001780;60
Carex_leporinella|WAS|spm00001613;22
Carex_leptalea|MIC|spm00001032;40
Carex_leptonervia|MAN|spm00001394;28
Carex_leptopoda|BRC|spm00001399;44
Carex_libera|NZ|NCBI_AUTHOR_Gardner_329;5.25
Carex_limosa|ASK|spm00001035;40
Carex_lingii|CH|NCBI_Yang_3761;27.5
Carex_liparocarpos_ssp_liparocarpos|SPA|spm00000556;12.5
Carex_lithophila|KOR|spm00000328;55
Carex_litorosa|NZ|NCBI_AUTHOR_Gardner_288;37
Carex_livida|NWJ|spm00001410;35
Carex_loliacea|ASK|spm00001650;27.5
Carex_longifructus||spm00004426;10
Carex_longii|ARK|spm00001001;75
Carex_longipes|EHM|spm00005772;40
Carex_lowei|MDR|spm00002858;115
Carex_lucennoiberica|SPA|spm00006015;13.75
Carex_lucorum|NCA|spm00001736;31
Carex_ludwigii|NAT|spm00003207;90
Carex_lupuliformis|FLA|spm00001011;90
Carex_lupulina|MRY|spm00001078;60
Carex_lurida|FLA|spm00001082;60
Carex_lyngbyei|ORE|spm00001085;77.5
Carex_maackii|JAP|spm00002491;45
Carex_mackenziei|ASK|spm00001657;25
Carex_macloviana||spm00002163;38
Carex_macrandrolepis|KOR|spm00000337;13.5
Carex_macrocephala|ASK|spm00001434;22.5
Carex_macrochaeta|ORE|spm00001671;45
Carex_macrolepis|ITA|spm00000536;52.5
Carex_macroprophylla|CHC|spm00003400;32.5
Carex_magellanica_ssp_irrigua|ASK|spm00001637;45
Carex_magellanica_ssp_magellanica|CLS|spm00003206;45
Carex_mairei|SPA|spm00004367;50
Carex_makinoensis|JAP|spm00006665;50
Carex_manhartii|GEO|spm00001761;30
Carex_mannii_ssp_friesiorum|KEN|spm00004355;71
Carex_mannii_ssp_mannii|GGI|spm00002860;75
Carex_maorica|NZ|NCBI_AUTHOR_Gardner_289;50
Carex_marina_ssp_marina|MAN|spm00001746;12.5
Carex_mariposana|ARI|spm00001884;55.5
Carex_maritima|YUK|spm00002500;13
Carex_meadii|MAN|spm00001742;37.5
Carex_media|NBR|spm00001772;32.5
Carex_megalepis|NZ|spm00005089;40
Carex_melanantha|KGZ|spm00008019;19
Carex_melanocarpa|KHA|spm00003594;10
Carex_melanocephala|ALT|spm00008022;15
Carex_melanostachya||spm00001550;45
Carex_membranacea|ASK|spm00001050;34
Carex_mendocinensis|ORE|spm00001673;52.5
Carex_merrittfernaldii|MAN|spm00001051;65
Carex_mertensii|ASK|spm00001056;55
Carex_mesochorea|ALA|spm00001097;57.5
Carex_metallica|JAP|NCBI_AUTHOR_Senni_586;50
Carex_meyeriana|MON|spm00008024;35
Carex_michauxiana|MAN|spm00001748;42.5
Carex_michelii|HUN|spm00002175;40
Carex_microcarpa|COR|spm00007912;70
Carex_microchaeta|YUK|spm00001946;20
Carex_microdonta|MSI|spm00001420;33
Carex_microglochin|NOR|spm00001705;13.5
Carex_micropoda|ASK|spm00001632;17.5
Carex_microptera|COL|spm00001880;65
Carex_microtricha|SAK|spm00006763;27.5
Carex_minor||spm00004412;25
Carex_mira|KOR|NCBI_Jung_2372;50
Carex_misera|TEN|spm00001764;37.5
Carex_missouriensis|ILL|spm00001067;67.5
Carex_mitchelliana|ALA|spm00001101;90
Carex_mitrata_var_mitrata|CHS|spm00000085;20
Carex_molesta|DEL|spm00001070;72.5
Carex_molestiformis|ARK|spm00001073;72.5
Carex_mollicula|JAP|NCBI_Waterway_3667;22.5
Carex_mollissima||NCBI_AUTHOR_Shekhovtsov_618;35
Carex_montana|YUG|spm00000543;25
Carex_morrowii|JAP|spm00006680;30
Carex_mucronata|ITA|spm00000534;23.5
Carex_muehlenbergii_var_muehlenbergii|WIS|spm00002520;55
Carex_muelleri|NZ|NCBI_AUTHOR_Gardner_301;20
Carex_multicostata|CAL|spm00001093;62
Carex_multispiculata|NAT|spm00003765;50.6
Carex_muricata_ssp_ashokae|IRN|spm00004581;65
Carex_muricata_ssp_muricata|POL|spm00004400;35
Carex_muskingumensis|MIC|spm00001115;70
Carex_myosuroides|FRA|spm00005196;12.5
Carex_myosurus|VIE|spm00007888;100
Carex_nardina|QUE|spm00001510;6.5
Carex_nebraskensis||NCBI_Janeway_2159;55
Carex_neesii|EHM|spm00005194;27
Carex_nemostachys|CHS|spm00000088;65
Carex_nemurensis|SAK|spm00006074;47.5
Carex_nervata|KOR|spm00000010;18.5
Carex_nervina|CAL|spm00001840;60
Carex_neurocarpa|PRM|spm00006483;40
Carex_nigra_ssp_intricata|SPA|spm00003775;10
Carex_nigra_ssp_nigra|GRB|NCBI_Dean_SM00019;60
Carex_nigricans|ASK|spm00001638;17.5
Carex_nigromarginata|ALA|spm00001121;17.5
Carex_nodaeana|CHM|spm00003470;22.5
Carex_normalis|ALA|spm00001059;87.5
Carex_norvegica|ORE|spm00001616;20
Carex_novaeangliae|MAI|spm00001061;22.5
Carex_nubigena|CHC|spm00003362;40
Carex_nudata|CAL|spm00001440;52.5
Carex_obnupta|CAL|spm00001105;70
Carex_obscura|CHT|spm00003376;47.5
Carex_obtusata|MAN|spm00001107;10
Carex_obtusifolia||spm00004428;17.5
Carex_oedipostyla|SPA|spm00000587;15
Carex_okamotoi|KOR|NCBI_Hoshino_2100;17.5
Carex_olbiensis|SPA|spm00000586;35
Carex_oligocarpa|ARK|spm00001532;32.5
Carex_oligosperma|NWH|spm00001112;60
Carex_omiana|JAP|NCBI_Waterway_3651;45
Carex_onoei|CHM|spm00004513;20
Carex_opaca|OKL|spm00001133;82.5
Carex_ophiolithica|NZ|NCBI_AUTHOR_Gardner_331;27.5
Carex_orbicularis_ssp_orbicularis|NEP|spm00003063;17.5
Carex_orestera|CAL|spm00008033;21.25
Carex_ornithopoda_ssp_ornithopoda|YUG|spm00000560;10
Carex_oronensis|MAI|spm00001898;65
Carex_otomana|IRN|spm00004583;70
Carex_otrubae|SPA|spm00000559;65
Carex_ouachitana|WAS|spm00001538;40
Carex_ozarkana|ARK|spm00002557;70
Carex_pachygyna|JAP|spm00002558;25
Carex_pachystachya|ASK|spm00001864;67.5
Carex_pachystylis|UZB|spm00003472;14.5
Carex_paeninsulae|FLA|spm00001445;18.95
Carex_pairae|SPA|spm00004403;35
Carex_paleacea|MAI|spm00001127;47.5
Carex_pallescens|BRC|spm00002008;50
Carex_panicea|MAI|spm00001906;44.5
Carex_paniculata_ssp_lusitanica|SPA|spm00002563;70
Carex_paniculata_ssp_paniculata|GRC|spm00006108;70
Carex_pansa|CAL|spm00001964;24
Carex_papulosa|KOR|spm00000016;45
Carex_parallela|KHA|spm00006471;17.5
Carex_parryana|ASK|spm00001634;22.5
Carex_parviflora|FRA_|spm00008036;15
Carex_parvirufa|NAT|spm00003224;39.5
Carex_parvispica||spm00004427;18.5
Carex_parvula||spm00003656;5.5
Carex_pauciflora|ASK|spm00001142;25
Carex_paulovargasii|MOR|spm00004349;50
Carex_paxii|JAP|spm00006668;33.5
Carex_peckii|ASK|spm00001625;34
Carex_pediformis_ssp_macroura|FIN|spm00003598;35
Carex_pediformis_ssp_pediformis|CHC|spm00003390;35
Carex_pedunculata|MAS|spm00001147;18.4
Carex_pellita|CAL|spm00001148;57.5
Carex_penalpina|NZS|NCBI_AUTHOR_Gardner_335;18.5
Carex_pendula|FRA|spm00007935;115
Carex_pensylvanica|MAN|spm00001171;27.5
Carex_peregrina|MDR|spm00000564;21.5
Carex_perplexa||spm00004409;45
Carex_perraudieriana|CNY|spm00004346;85
Carex_petasata|UTA|spm00001192;57.5
Carex_petitiana_ssp_attenuata|MLW|spm00004345;91.5
Carex_petitiana_ssp_petitiana|KEN|spm00002867;67.5
Carex_petricosa_var_petricosa|NWT|NCBI_Gillespie_1850;50
Carex_petriei|NZ|NCBI_AUTHOR_Gardner_315;17.5
Carex_peucophila|MXC|spm00002576;22.5
Carex_phacota|KOR|spm00000344;37.5
Carex_phaeocephala|NEV|spm00001193;30
Carex_phleoides_ssp_phleoides|CLC|spm00005103;50
Carex_phyllostachys|TUR|spm00005164;30
Carex_physodes|TZK|spm00005427;27.5
Carex_pigra|MSI|spm00001785;30
Carex_pilosa|YUG|spm00000563;35
Carex_pilulifera|POR|spm00000583;17.5
Carex_pisiformis_var_pisiformis|CHS|spm00000095;32.5
Carex_pisiformis_var_sikokiana|KOR|spm00000349;30
Carex_planata|JAP|spm00005429;45
Carex_planiculmis|KOR|NCBI_Jung_2377;37.5
Carex_planispicata|MRY|spm00000666;37
Carex_plantaginea|TEN|spm00001893;39
Carex_platyphylla|MRY|spm00001152;26
Carex_pluriflora|ASK|spm00001956;40
